FamilyColor,species,TaxOrder
#b15928,Archilochus_colubris,1
#ffff99,Coccyzus_americanus,2
#e31a1c,Pheucticus_ludovicianus,3
#e31a1c,Piranga_olivacea,4
#e31a1c,Piranga_rubra,5
#000000,Passerina_caerulea,6
#000000,Passerina_cyanea,7
#000000,Spizella_passerina,8
#6a3d9a,Hirundo_rustica,9
#6a3d9a,Petrochelidon_pyrrhonota,10
#6a3d9a,Stelgidopteryx_serripennis,11
#6a3d9a,Tachycineta_bicolor,12
#969696,Dolichonyx_oryzivorus,13
#969696,Icterus_galbula,14
#969696,Icterus_spurius,15
#cab2d6,Dumetella_carolinensis,16
#1f78b4,Geothlypis_formosa,17
#1f78b4,Geothlypis_trichas,18
#1f78b4,Icteria_virens,19
#1f78b4,Mniotilta_varia,20
#1f78b4,Oreothlypis_ruficapilla,21
#1f78b4,Parkesia_motacilla,22
#1f78b4,Protonotaria_citrea,23
#1f78b4,Seiurus_aurocapilla,24
#1f78b4,Setophaga_americana,25
#1f78b4,Setophaga_caerulescens,26
#1f78b4,Setophaga_cerulea,27
#1f78b4,Setophaga_citrina,28
#1f78b4,Setophaga_discolor,29
#1f78b4,Setophaga_dominica,30
#1f78b4,Setophaga_fusca,31
#1f78b4,Setophaga_magnolia,32
#1f78b4,Setophaga_pensylvanica,33
#1f78b4,Setophaga_petechia,34
#1f78b4,Setophaga_pinus,35
#1f78b4,Setophaga_ruticilla,36
#1f78b4,Setophaga_striata,37
#1f78b4,Setophaga_tigrina,38
#1f78b4,Setophaga_virens,39
#1f78b4,Vermivora_cyanoptera,40
#ff7f00,Pipilo_erythrophthalmus,41
#b2df8a,Polioptila_caerulea,42
#a6cee3,Troglodytes_aedon,43
#fdbf6f,Catharus_fuscescens,44
#33a02c,Contopus_virens,45
#33a02c,Empidonax_minimus,46
#33a02c,Empidonax_traillii,47
#33a02c,Empidonax_virescens,48
#33a02c,Myiarchus_crinitus,49
#33a02c,Sayornis_phoebe,50
#33a02c,Tyrannus_tyrannus,51
#fb9a99,Vireo_flavifrons,52
#fb9a99,Vireo_gilvus,53
#fb9a99,Vireo_griseus,54
#fb9a99,Vireo_olivaceus,55
#fb9a99,Vireo_solitarius,56